北京联通组播本地台,#genre#
承德公共-HD,http://mfworld.top:4321/udp/239.254.200.33:6000
张家口综合-HD,http://mfworld.top:4321/udp/239.254.200.35:6000
秦皇岛综合-HD,http://mfworld.top:4321/udp/239.254.200.39:6000
秦皇岛公共-HD,http://mfworld.top:4321/udp/239.254.200.40:6000
秦皇岛影视-HD,http://mfworld.top:4321/udp/239.254.200.41:6000
唐山综合-HD,http://mfworld.top:4321/udp/239.254.200.166:6000
唐山生活-HD,http://mfworld.top:4321/udp/239.254.200.167:6000
唐山影视-HD,http://mfworld.top:4321/udp/239.254.200.168:6000
唐山公共-HD,http://mfworld.top:4321/udp/239.254.200.169:6000
廊坊综合-HD,http://mfworld.top:4321/udp/239.254.200.183:6000
廊坊公共-HD,http://mfworld.top:4321/udp/239.254.200.184:6000
沧州综合-HD,http://mfworld.top:4321/udp/239.254.200.42:6000
沧州公共-HD,http://mfworld.top:4321/udp/239.254.200.43:6000
沧州影视-HD,http://mfworld.top:4321/udp/239.254.200.44:6000
保定综合-HD,http://mfworld.top:4321/udp/239.254.200.144:6000
衡水综合-HD,http://mfworld.top:4321/udp/239.254.200.147:6000
衡水公共-HD,http://mfworld.top:4321/udp/239.254.200.149:6000
邢台综合-HD,http://mfworld.top:4321/udp/239.254.200.150:6000
邢台生活-HD,http://mfworld.top:4321/udp/239.254.200.152:6000
邯郸综合-HD,http://mfworld.top:4321/udp/239.254.200.153:6000
邯郸公共-HD,http://mfworld.top:4321/udp/239.254.200.154:6000
邯郸教育-HD,http://mfworld.top:4321/udp/239.254.200.155:6000
元氏电视-HD,http://mfworld.top:4321/udp/239.254.200.191:5169
高邑电视-HD,http://mfworld.top:4321/udp/239.254.201.24:5170
井陉矿区-HD,http://mfworld.top:4321/udp/239.254.201.14:5175
深泽电视-HD,http://mfworld.top:4321/udp/239.254.201.108:5180
赵县电视-HD,http://mfworld.top:4321/udp/239.254.201.111:5183
晋州电视-HD,http://mfworld.top:4321/udp/239.254.201.127:5184
井陉电视-HD,http://mfworld.top:4321/udp/239.254.201.215:6167
平泉电视-HD,http://mfworld.top:4321/udp/239.254.200.177:5286
兴隆电视-HD,http://mfworld.top:4321/udp/239.254.201.95:5295
隆化电视-HD,http://mfworld.top:4321/udp/239.254.201.142:5296
承德电视-HD,http://mfworld.top:4321/udp/239.254.200.24:5297
崇礼电视-HD,http://mfworld.top:4321/udp/239.254.201.117:5267
邱县电视-HD,http://mfworld.top:4321/udp/239.254.201.129:6209
遵化电视-HD,http://mfworld.top:4321/udp/239.254.201.146:5202
滦南电视-HD,http://mfworld.top:4321/udp/239.254.201.22:5191
玉田电视-HD,http://mfworld.top:4321/udp/239.254.201.28:5194
大厂电视-HD,http://mfworld.top:4321/udp/239.254.201.71:5310
文安电视-HD,http://mfworld.top:4321/udp/239.254.201.103:5314
三河电视-HD,http://mfworld.top:4321/udp/239.254.201.113:5315
永清电视-HD,http://mfworld.top:4321/udp/239.254.201.141:5316
成安电视-HD,http://mfworld.top:4321/udp/239.254.201.143:6210
魏县电视-HD,http://mfworld.top:4321/udp/239.254.201.148:6211
黄骅电视-HD,http://mfworld.top:4321/udp/239.254.201.36:5325
吴桥电视-HD,http://mfworld.top:4321/udp/239.254.201.138:5337
丰宁综合-HD,http://mfworld.top:4321/udp/239.254.200.5:5290
阜平电视-HD,http://mfworld.top:4321/udp/239.254.201.40:5248
涞源电视-HD,http://mfworld.top:4321/udp/239.254.200.213:5260
高碑店电视-HD,http://mfworld.top:4321/udp/239.254.200.210:5254
涿州电视-HD,http://mfworld.top:4321/udp/239.254.201.17:5261
唐县电视-HD,http://mfworld.top:4321/udp/239.254.201.41:5264
定州电视-HD,http://mfworld.top:4321/udp/239.254.201.74:6251
雄县电视-HD,http://mfworld.top:4321/udp/239.254.201.94:6254
容城电视-HD,http://mfworld.top:4321/udp/239.254.201.102:6256
柏乡电视-HD,http://mfworld.top:4321/udp/239.254.201.140:5383
徐水电视-HD,http://mfworld.top:4321/udp/239.254.201.147:6260
临西电视-HD,http://mfworld.top:4321/udp/239.254.200.26:5386
安平电视-HD,http://mfworld.top:4321/udp/239.254.201.42:5348
景县电视-HD,http://mfworld.top:4321/udp/239.254.200.240:5350
饶阳电视-HD,http://mfworld.top:4321/udp/239.254.201.44:5353
深州电视-HD,http://mfworld.top:4321/udp/239.254.201.46:5357
故城电视-HD,http://mfworld.top:4321/udp/239.254.201.126:5362
枣强电视-HD,http://mfworld.top:4321/udp/239.254.201.136:5363
清河电视-HD,http://mfworld.top:4321/udp/239.254.200.170:5366
武安电视-HD,http://mfworld.top:4321/udp/239.254.201.6:5216
临漳电视-HD,http://mfworld.top:4321/udp/239.254.201.73:5221
涉县电视-HD,http://mfworld.top:4321/udp/239.254.201.97:5222
湖南卫视-HD,http://mfworld.top:4321/udp/239.254.200.48:8012
